date;Mexico;US;Germany
2020-04-20;712;45202;4404
2020-04-21;857;47684;4598
2020-04-22;970;50145;4879
2020-04-23;1069;52565;5094
2020-04-24;1221;54741;5321
2020-04-25;1305;56471;5500
2020-04-26;1351;57877;5640
2020-04-27;1434;59359;5750
2020-04-28;1569;61605;5913
2020-04-29;1732;63995;6115
2020-04-30;1859;66187;6288
2020-05-01;1972;68095;6481
2020-05-02;2061;69838;6575
2020-05-03;2154;71049;6649
2020-05-04;2271;72404;6692
2020-05-05;2507;74628;6831
2020-05-06;2704;76940;6996
2020-05-07;2961;78865;7119
2020-05-08;3160;80638;7266
2020-05-09;3353;82112;7369
2020-05-10;3465;83115;7395
2020-05-11;3573;84146;7417
2020-05-12;3926;85730;7533
2020-05-13;4220;87467;7634
2020-05-14;4477;89241;7723
2020-05-15;4767;90911;7824
2020-05-16;5045;92109;7881
2020-05-17;5177;92943;7914
2020-05-18;5332;94164;7935
2020-05-19;5666;95607;8007
2020-05-20;6090;97111;8090
2020-05-21;6510;98303;8147
2020-05-22;6989;99508;8174
2020-05-23;7179;100574;8216
2020-05-24;7394;101218;8247
2020-05-25;7633;101819;8257
2020-05-26;8134;102475;8302
2020-05-27;8597;103951;8349
2020-05-28;9044;105041;8411
2020-05-29;9415;106161;8450
2020-05-30;9779;107119;8489
2020-05-31;9930;107745;8500
2020-06-01;10167;108522;8511
2020-06-02;10637;109496;8522
2020-06-03;11729;110508;8551
2020-06-04;12545;111503;8581
2020-06-05;13170;112382;8613
2020-06-06;13511;113021;8646
2020-06-07;13699;113481;8668
2020-06-08;14053;113995;8674
2020-06-09;14649;114903;8711
2020-06-10;15357;115775;8729
2020-06-11;15944;116593;8755
2020-06-12;16448;117392;8763
2020-06-13;16872;118115;8781
2020-06-14;17141;118468;8787
2020-06-15;17580;118876;8791
2020-06-16;18310;119657;8800
2020-06-17;19080;120412;8830
2020-06-18;19747;121106;8856
2020-06-19;20394;121734;8872
2020-06-20;20781;122306;8883
2020-06-21;21825;122631;8882
2020-06-22;22584;123011;8885
2020-06-23;23377;123745;8895
2020-06-24;24324;124494;8914
2020-06-25;25060;125041;8927
2020-06-26;25779;125675;8948
2020-06-27;26381;126173;8954
2020-06-28;26648;126505;8957
2020-06-29;27121;126876;8961
2020-06-30;27769;127430;8973
2020-07-01;28510;128140;8985
2020-07-02;29189;128877;8994
2020-07-03;29843;129553;9003
2020-07-04;30366;129867;9010
2020-07-05;30639;130199;9012
2020-07-06;31119;130573;9016
2020-07-07;32014;131722;9024
2020-07-08;32796;132556;9036
2020-07-09;33526;133586;9048
2020-07-10;34191;134408;9054
2020-07-11;34730;135158;9060
2020-07-12;35006;135646;9063
2020-07-13;35491;136091;9064
2020-07-14;36327;136983;9068
2020-07-15;36906;137948;9071
2020-07-16;37574;138919;9078
2020-07-17;38310;139836;9082
2020-07-18;38888;140717;9083
2020-07-19;39184;141208;9084
2020-07-20;39485;141756;9086
2020-07-21;40400;142837;9090
2020-07-22;41190;144075;9095
2020-07-23;41908;145156;9101
2020-07-24;42645;146264;9111
2020-07-25;43374;147229;9118
2020-07-26;43680;147784;9118
2020-07-27;44022;148900;9118
2020-07-28;44876;150117;9122
2020-07-29;45361;151573;9128
2020-07-30;46000;152884;9134
2020-07-31;46688;154071;9141
2020-08-01;47472;155206;9148
2020-08-02;47746;155699;9141
2020-08-03;48012;156267;9148
2020-08-04;48869;157520;9156
2020-08-05;49698;158924;9168
2020-08-06;50517;160090;9175
2020-08-07;51311;161390;9183
2020-08-08;52006;162489;9195
2020-08-09;52298;163069;9196
2020-08-10;53003;163611;9197
2020-08-11;53929;164684;9201
2020-08-12;54666;166202;9207
2020-08-13;55293;167242;9211
2020-08-14;55908;168560;9225
2020-08-15;56543;169613;9231
2020-08-16;56757;170235;9231
2020-08-17;57023;170706;9232
2020-08-18;57774;171914;9236
2020-08-19;58481;172594;9243
2020-08-20;59106;173678;9253
2020-08-21;59610;174734;9260
2020-08-22;60254;175699;9267
2020-08-23;60480;176222;9269
2020-08-24;60800;176662;9272
2020-08-25;61450;177866;9277
2020-08-26;62076;179034;9280
2020-08-27;62594;180143;9285
2020-08-28;63146;181066;9288
2020-08-29;63819;182030;9289
2020-08-30;64158;182465;9295
2020-08-31;64414;182965;9298
2020-09-01;65241;184025;9302
2020-09-02;65816;185085;9313
2020-09-03;66329;186111;9321
2020-09-04;66851;187060;9322
2020-09-05;67326;187860;9324
2020-09-06;67558;188328;9325
2020-09-07;67781;188660;9325
2020-09-08;68484;189121;9329
2020-09-09;69049;190212;9338
2020-09-10;69649;191086;9341
2020-09-11;70183;192219;9342
2020-09-12;70604;192955;9347
2020-09-13;70821;193348;9349
2020-09-14;71049;193776;9350
2020-09-15;71678;194957;9362
2020-09-16;71978;195892;9368
2020-09-17;72179;196753;9371
2020-09-18;72803;197705;9378
2020-09-19;73258;198365;9384
2020-09-20;73493;198653;9386
2020-09-21;73697;199067;9386
2020-09-22;74348;200082;9396
2020-09-23;74949;201145;9409
2020-09-24;75439;202019;9428
2020-09-25;75844;202910;9443
2020-09-26;76243;203675;9452
2020-09-27;76430;204000;9457
2020-09-28;76603;204348;9460
2020-09-29;77163;205224;9471
2020-09-30;77646;206123;9488
2020-10-01;78078;206992;9500
2020-10-02;78492;207834;9508
2020-10-03;78880;208476;9527
2020-10-04;79088;208859;9529
2020-10-05;81877;209334;9534
2020-10-06;82348;210031;9546
2020-10-07;82726;210940;9562
2020-10-08;83096;211879;9578
2020-10-09;83497;212844;9589
2020-10-10;83642;213503;9604
2020-10-11;83781;213981;9615
2020-10-12;83945;214402;9621
2020-10-13;84420;215186;9634
2020-10-14;84898;216179;9677
2020-10-15;85285;217011;9710
2020-10-16;85704;217959;9734
2020-10-17;86059;218741;9767
2020-10-18;86167;219214;9777
2020-10-19;86338;219715;9789
2020-10-20;86893;220652;9836
2020-10-21;87415;221830;9875
2020-10-22;87415;222653;9905
2020-10-23;88312;223570;9954
2020-10-24;88743;224547;10003
2020-10-25;88924;225003;10032
2020-10-26;89171;225515;10056
2020-10-27;89814;226517;10098
2020-10-28;90309;227530;10183
2020-10-29;90773;228535;10272
2020-10-30;91289;229554;10349
2020-10-31;91753;230494;10452
2020-11-01;91895;231017;10481
2020-11-02;92100;231585;10530
2020-11-03;92593;233148;10661
2020-11-04;93228;234283;10812
2020-11-05;93772;235450;10930
2020-11-06;94323;236672;11096
