t;ydata;fitted
153.0;237936.0;1271606.5251431847
154.0;239507.0;1280432.856027488
155.0;240986.0;1289196.9293279785
156.0;241771.0;1297900.6306281292
157.0;242381.0;1306545.869382399
158.0;243599.0;1315134.574096307
159.0;244855.0;1323668.6882310992
160.0;246166.0;1332150.166259305
161.0;247619.0;1340580.9696758727
162.0;248997.0;1348963.063500362
163.0;249985.0;1357298.4129892136
164.0;250799.0;1365588.9803805575
165.0;252298.0;1373836.721956248
166.0;253474.0;1382043.5851926284
167.0;255366.0;1390211.5063608957
168.0;256850.0;1398342.408113347
169.0;258480.0;1406438.1970833524
170.0;259428.0;1414500.7621540641
171.0;260355.0;1422531.9725832725
172.0;261762.0;1430533.6760038002
173.0;263663.0;1438507.6972478002
174.0;265857.0;1446455.836980986
175.0;267773.0;1454379.870089312
176.0;270070.0;1462281.544920116
177.0;271415.0;1470162.582388998
178.0;272337.0;1478024.6747318562
179.0;274158.0;1485869.4850614164
180.0;275927.0;1493698.6468779654
181.0;278070.0;1501513.7632341387
182.0;280223.0;1509316.4063913692
183.0;282730.0;1517108.117603154
184.0;284140.0;1524890.406838979
185.0;285332.0;1532664.7526048895
186.0;287421.0;1540432.6017931453
187.0;289219.0;1548195.3697470846
188.0;291722.0;1555954.4403241521
189.0;294395.0;1563711.1658523497
190.0;296958.0;1571466.867384557
191.0;299237.0;1579222.834982945
192.0;300619.0;1586980.3278167075
193.0;303258.0;1594740.5745198678
194.0;306086.0;1602504.7735692034
195.0;310144.0;1610274.0935846232
196.0;314660.0;1618049.673749156
197.0;319381.0;1625832.624254568
198.0;322864.0;1633624.0267230156
199.0;325331.0;1641424.9346875444
200.0;329453.0;1649236.3741164864
201.0;334585.0;1657059.3438880248
202.0;341223.0;1664894.8163202808
203.0;348557.0;1672743.7377328135
204.0;356387.0;1680607.0289692448
205.0;361974.0;1688485.585953135
206.0;366299.0;1696380.2802781765
207.0;373167.0;1704291.9597534772
208.0;380762.0;1712221.4489719847
209.0;392049.0;1720169.5499074173
210.0;403291.0;1728137.0424739404
211.0;418005.0;1736124.6850944362
212.0;429181.0;1744133.2152912784
213.0;437866.0;1752163.3502478506
214.0;449275.0;1760215.7873671802
215.0;464239.0;1768291.204850243
216.0;481013.0;1776390.26224944
217.0;499694.0;1784513.6010103417
218.0;518753.0;1792661.8450286102
219.0;532930.0;1800835.6011884417
220.0;545027.0;1809035.4598832014
221.0;560379.0;1817261.995546862
222.0;577593.0;1825515.7671718276
223.0;597583.0;1833797.3188040794
224.0;619089.0;1842107.1800461898
225.0;642488.0;1850445.866550099
226.0;658505.0;1858813.8804850238
227.0;671868.0;1867211.7110100517
228.0;687200.0;1875639.8347381838
229.0;705687.0;1884098.716176306
230.0;727553.0;1892588.808166327
231.0;751095.0;1901110.5523191742
232.0;773556.0;1909664.3794258453
233.0;790503.0;1918250.7098669484
234.0;801327.0;1926869.9540153795
235.0;815746.0;1935522.5126188158
236.0;833307.0;1944208.7771778826
237.0;855916.0;1952929.1303178025
238.0;879564.0;1961683.946142315
239.0;902528.0;1970473.590581357
240.0;918269.0;1979298.4217323242
241.0;929133.0;1988158.7901860161
242.0;942687.0;1997055.039344995
243.0;961320.0;2005987.505735553
244.0;983588.0;2014956.5193062495
245.0;1006394.0;2023962.4037180985
246.0;1028089.0;2033005.4766287731
247.0;1042700.0;2042086.0499661083
248.0;1053869.0;2051204.4301909043
249.0;1067473.0;2060360.9185541985
250.0;1084743.0;2069555.811346273
251.0;1106789.0;2078789.4001348943
252.0;1130238.0;2088061.9719976322
253.0;1153556.0;2097373.8097472196
254.0;1171323.0;2106725.1921469667
255.0;1183655.0;2116116.3941199756
256.0;1197709.0;2125547.6869517793
257.0;1218524.0;2135019.3384849443
258.0;1242203.0;2144531.61330691
259.0;1272078.0;2154084.7729315585
260.0;1300516.0;2163679.0759741003
261.0;1320716.0;2173314.7783194394
262.0;1337078.0;2182992.133284614
263.0;1351510.0;2192711.3917752933
264.0;1379238.0;2202472.802436272
265.0;1406161.0;2212276.611796463
266.0;1439938.0;2222123.064408124
267.0;1471238.0;2232012.402981261
268.0;1494009.0;2241944.8685126854
269.0;1510652.0;2251920.7004097844
270.0;1530180.0;2261940.1366097843
271.0;1554920.0;2272003.413694419
272.0;1587115.0;2282110.7669997998
273.0;1612648.0;2292262.430722162
274.0;1627103.0;2302458.6380193788
275.0;1640858.0;2312699.6211078907
276.0;1651834.0;2322985.6113563636
277.0;1664726.0;2333316.8393753376
278.0;1687185.0;2343693.5351028815
279.0;1719737.0;2354115.927887192
280.0;1742661.0;2364584.2465655725
281.0;1755351.0;2375098.7195397774
282.0;1765666.0;2385659.5748488675
283.0;1775513.0;2396267.040238609
284.0;1787410.0;2406921.343227635
285.0;1808647.0;2417622.7111715362
286.0;1835038.0;2428371.371323731
287.0;1866887.0;2439167.5508936173
288.0;1891581.0;2450011.4771027747
289.0;1908527.0;2460903.3772382583
290.0;1921024.0;2471843.4787035147
291.0;1933826.0;2482832.0090677035
292.0;1953426.0;2493869.1961123
293.0;1978590.0;2504955.267875715
294.0;2000958.0;2516090.4526963327
295.0;2019636.0;2527274.9792533275
296.0;2033518.0;2538509.0766058983
297.0;2040659.0;2549792.9742307197
298.0;2052028.0;2561126.902057501
299.0;2068002.0;2572511.090503454
300.0;2088400.0;2583945.7705059233
301.0;2106262.0;2595431.173553686
302.0;2122679.0;2606967.5317169745
303.0;2134936.0;2618555.0776759437
304.0;2141665.0;2630194.044748195
305.0;2148077.0;2641884.666914953
306.0;2161275.0;2653627.1788460044
307.0;2178828.0;2665421.8159238608
308.0;2192850.0;2677268.814266614
309.0;2205171.0;2689168.4107499714
310.0;2216363.0;2701120.8430283675
311.0;2221971.0;2713126.3495549927
312.0;2228085.0;2725185.169601278
313.0;2237790.0;2737297.543275383
314.0;2252001.0;2749463.7115399432
315.0;2264909.0;2761683.9162292397
316.0;2275394.0;2773958.4000654756
317.0;2284010.0;2786287.406674591
318.0;2288545.0;2798671.180601407
319.0;2291924.0;2811109.9673240744
320.0;2299996.0;2823604.0132681997
321.0;2310233.0;2836153.565820259
322.0;2320093.0;2848758.8733406025
323.0;2328447.0;2861420.1851760442
324.0;2334561.0;2874137.7516718623
325.0;2338987.0;2886911.824183562
326.0;2342843.0;2899742.655088155
327.0;2350399.0;2912630.4977950403
328.0;2360606.0;2925575.606756669
329.0;2369719.0;2938578.237478748
330.0;2378883.0;2951638.6465301947
331.0;2386559.0;2964757.091552828
332.0;2390928.0;2977933.831270772
333.0;2394811.0;2991169.1254996043
334.0;2402818.0;3004463.2351552295
335.0;2414687.0;3017816.422262603
336.0;2424684.0;3031228.9499641997
337.0;2434446.0;3044701.082528314
338.0;2442336.0;3058233.0853571547
339.0;2447068.0;3071825.2249947945
340.0;2451011.0;3085477.7691349457
341.0;2460030.0;3099190.986628592
342.0;2471942.0;3112965.147491497
343.0;2482522.0;3126800.522911577
344.0;2492079.0;3140697.3852561656
345.0;2500182.0;3154656.008079149
346.0;2505193.0;3168676.666128028
347.0;2509445.0;3182759.6353508756
348.0;2518591.0;3196905.1929032076
349.0;2532947.0;3211113.617154787
350.0;2545781.0;3225385.187696351
351.0;2558455.0;3239720.18534627
352.0;2569245.0;3254118.8921571523
353.0;2575849.0;3268581.591422399
354.0;2581329.0;3283108.567682706
355.0;2594764.0;3297700.106732527
356.0;2612268.0;3312356.495626493
357.0;2629750.0;3327078.0226858044
358.0;2645783.0;3341864.977504587
359.0;2659516.0;3356717.6509562293
360.0;2667225.0;3371636.335199689
361.0;2674710.0;3386621.3236857923
362.0;2690523.0;3401672.9111634996
363.0;2713180.0;3416791.3936861777
364.0;2734753.0;3431977.068617851
365.0;2755225.0;3447230.2346394453
366.0;2772401.0;3462551.1917550345
367.0;2782273.0;3477940.2412980753
368.0;2791822.0;3493397.685937649
369.0;2808873.0;3508923.829684698
370.0;2833173.0;3524518.9778982764
371.0;2855061.0;3540183.437291794
372.0;2873190.0;3555917.515939276
373.0;2885386.0;3571721.523281627
374.0;2893883.0;3587595.7701329077
375.0;2900768.0;3603540.568686623
376.0;2910445.0;3619556.2325220206
377.0;2930852.0;3635643.0766104055
378.0;2956316.0;3651801.41732147
379.0;2980413.0;3668031.572429639
380.0;2998268.0;3684333.8611204326
381.0;3011513.0;3700708.6039968487
382.0;3022323.0;3717156.123085763
383.0;3044016.0;3733676.741844346
384.0;3073442.0;3750270.7851665085
385.0;3099273.0;3766938.579389362
386.0;3123077.0;3783680.452299702
387.0;3142262.0;3800496.733140516
388.0;3153699.0;3817387.7526175133
389.0;3163308.0;3834353.8429056816
390.0;3188192.0;3851395.33765586
391.0;3217710.0;3868512.572001351
392.0;3245253.0;3885705.882564542
393.0;3268645.0;3902975.6074635643
394.0;3287418.0;3920322.0863189725
395.0;3299325.0;3937745.660260453
396.0;3310301.0;3955246.671933558
397.0;3332532.0;3972825.465506469
398.0;3357268.0;3990482.3866767855
399.0;3381597.0;4008217.7826783443
400.0;3400532.0;4026032.0022880645
401.0;3416822.0;4043925.3958328227
402.0;3425982.0;4061898.315196358
403.0;3433516.0;4079951.1138262055
404.0;3451550.0;4098084.146740657
405.0;3473503.0;4116297.7705357554
406.0;3491988.0;4134592.3433923167
407.0;3507673.0;4152968.2250829823
408.0;3520329.0;4171425.776979302
409.0;3527251.0;4189965.362058849
410.0;3533376.0;4208587.344912363
411.0;3548285.0;4227292.091750925
412.0;3565704.0;4246079.970413172
413.0;3577040.0;4264951.350372522
414.0;3584934.0;4283906.602744462
415.0;3593434.0;4302946.100293825
416.0;3598846.0;4322070.21744218
417.0;3603055.0;4341279.330275097
418.0;3614095.0;4360573.816549607
419.0;3626393.0;4379954.055701724
420.0;3635162.0;4399420.428853652
421.0;3642244.0;4418973.318821627
422.0;3648958.0;4438613.110123148
423.0;3651640.0;4458340.188984673
424.0;3653551.0;4478154.943349298
425.0;3656177.0;4498057.762884118
426.0;3662490.0;4518049.038988262
427.0;3669870.0;4538129.1648002425
428.0;3675296.0;4558298.535205893
429.0;3679148.0;4578557.546846139
430.0;3681126.0;4598906.598124581
431.0;3682911.0;4619346.089215701
432.0;3687828.0;4639876.42207624
433.0;3692468.0;4660498.000434077
434.0;3695633.0;4681211.22983407
435.0;3697927.0;4702016.517610033
436.0;3700367.0;4722914.272911942
437.0;3701484.0;4743904.906701749
438.0;3702688.0;4764988.831766884
