t;ydata;fitted
152.0;5835293.0;11262260.398633258
153.0;5885811.0;11332059.39966088
154.0;5932281.0;11400687.325044736
155.0;5975384.0;11468185.00588436
156.0;6009515.0;11534592.991193915
157.0;6042877.0;11599951.4535561
158.0;6084855.0;11664300.114095012
159.0;6124816.0;11727678.167567987
160.0;6169957.0;11790124.21505809
161.0;6218291.0;11851676.215531494
162.0;6261914.0;11912371.42610556
163.0;6291033.0;11972246.366767386
164.0;6315596.0;12031336.783447048
165.0;6342340.0;12089677.609862875
166.0;6375978.0;12147302.954154985
167.0;6415426.0;12204246.067990696
168.0;6460049.0;12260539.336370878
169.0;6505632.0;12316214.269337159
170.0;6545923.0;12371301.485610755
171.0;6578487.0;12425830.7151088
172.0;6615665.0;12479830.798085338
173.0;6653957.0;12533329.686540471
174.0;6699276.0;12586354.448000168
175.0;6749460.0;12638931.276054574
176.0;6795238.0;12691085.495310694
177.0;6836848.0;12742841.575752037
178.0;6868891.0;12794223.14551749
179.0;6907162.0;12845253.003083497
180.0;6948282.0;12895953.134921161
181.0;6997165.0;12946344.730577912
182.0;7044301.0;12996448.20058366
183.0;7087848.0;13046283.19454127
184.0;7121627.0;13095868.619411714
185.0;7159367.0;13145222.659529239
186.0;7201400.0;13194362.795352653
187.0;7240031.0;13243305.823550666
188.0;7286275.0;13292067.876954973
189.0;7339718.0;13340664.444156304
190.0;7388999.0;13389110.390108226
191.0;7422130.0;13437419.975479823
192.0;7459487.0;13485606.876660077
193.0;7504032.0;13533684.205452511
194.0;7553169.0;13581664.528088447
195.0;7611059.0;13629559.884710731
196.0;7666138.0;13677381.807812242
197.0;7721504.0;13725141.340800444
198.0;7768404.0;13772849.05617964
199.0;7810484.0;13820515.072966529
200.0;7860607.0;13868149.074249707
201.0;7919049.0;13915760.323842661
202.0;7982586.0;13963357.682773044
203.0;8052760.0;14010949.625365583
204.0;8107592.0;14058544.25460541
205.0;8159762.0;14106149.317419946
206.0;8227644.0;14153772.219202945
207.0;8289381.0;14201420.038030485
208.0;8350087.0;14249099.538474444
209.0;8429709.0;14296817.184786893
210.0;8511369.0;14344579.15386688
211.0;8589744.0;14392391.347614275
212.0;8650719.0;14440259.404951852
213.0;8715283.0;14488188.713420097
214.0;8792506.0;14536184.420153918
215.0;8878983.0;14584251.442646883
216.0;8970276.0;14632394.479461897
217.0;9070125.0;14680618.019836435
218.0;9157468.0;14728926.353298748
219.0;9235298.0;14777323.578933528
220.0;9317105.0;14825813.614005618
221.0;9441871.0;14874400.202712318
222.0;9542133.0;14923086.924331443
223.0;9670214.0;14971877.200747915
224.0;9797270.0;15020774.304289756
225.0;9924334.0;15069781.364698118
226.0;10044007.0;15118901.375923837
227.0;10160963.0;15168137.203021707
228.0;10297515.0;15217491.588254504
229.0;10445197.0;15266967.157151537
230.0;10603993.0;15316566.424227204
231.0;10783511.0;15366291.798590917
232.0;10947561.0;15416145.589254307
233.0;11087276.0;15466130.010079982
234.0;11240364.0;15516247.184692347
235.0;11405011.0;15566499.150976447
236.0;11576980.0;15616887.865592757
237.0;11769281.0;15667415.208053133
238.0;11970950.0;15718082.984821163
239.0;12150770.0;15768892.933069061
240.0;12297357.0;15819846.72433431
241.0;12478869.0;15870945.96800354
242.0;12652431.0;15922192.214568682
243.0;12832643.0;15973586.958860168
244.0;12949894.0;16025131.642945956
245.0;13164528.0;16076827.659087403
246.0;13332752.0;16128676.352369979
247.0;13473104.0;16180679.023358442
248.0;13628018.0;16232836.93051546
249.0;13825134.0;16285151.292557217
250.0;14021297.0;16337623.290694695
251.0;14241519.0;16390254.070707928
252.0;14476889.0;16443044.74501968
253.0;14698899.0;16495996.39453346
254.0;14878223.0;16549110.070521247
255.0;15073683.0;16602386.79628399
256.0;15300740.0;16655827.56883629
257.0;15516747.0;16709433.360430848
258.0;15753691.0;16763205.12004087
259.0;15992593.0;16817143.77477104
260.0;16217128.0;16871250.231149256
261.0;16408725.0;16925525.37643469
262.0;16618553.0;16979970.079777904
263.0;16844868.0;17034585.19334766
264.0;17079672.0;17089371.55341041
265.0;17319918.0;17144329.981353432
266.0;17567864.0;17199461.28463572
267.0;17773715.0;17254766.25769801
268.0;17960910.0;17310245.68282883
269.0;18157768.0;17365900.33097387
270.0;18363698.0;17421730.962515082
271.0;18585139.0;17477738.327992722
272.0;18798087.0;17533923.168803085
273.0;18925265.0;17590286.217843097
274.0;19142705.0;17646828.200136248
275.0;19278666.0;17703549.83340783
276.0;19451968.0;17760451.82864287
277.0;19657940.0;17817534.890601806
278.0;19876237.0;17874799.718315758
279.0;20191325.0;17932247.005549185
280.0;20370227.0;17989877.441239886
281.0;20642506.0;18047691.709910948
282.0;20845907.0;18105690.492065907
283.0;21031409.0;18163874.46455433
284.0;21264272.0;18222244.300918434
285.0;21524033.0;18280800.671724916
286.0;21810277.0;18339544.24487099
287.0;22114343.0;18398475.685879424
288.0;22379081.0;18457595.658171564
289.0;22589924.0;18516904.823328216
290.0;22793888.0;18576403.84133292
291.0;23015701.0;18636093.370803077
292.0;23245031.0;18695974.069206737
293.0;23480609.0;18756046.593067456
294.0;23725607.0;18816311.59815622
295.0;23943296.0;18876769.73967357
296.0;24119850.0;18937421.672419846
297.0;24260678.0;18998268.050956603
298.0;24417573.0;19059309.52975759
299.0;24604955.0;19120546.763351828
300.0;24797508.0;19181980.40645737
301.0;24989283.0;19243611.114108067
302.0;25167458.0;19305439.54177224
303.0;25307602.0;19367466.345464922
304.0;25437202.0;19429692.181852993
305.0;25588210.0;19492117.708354622
306.0;25743666.0;19554743.583232485
307.0;25910426.0;19617570.465681836
308.0;26074169.0;19680599.01591315
309.0;26225109.0;19743829.895230196
310.0;26337967.0;19807263.7661033
311.0;26463281.0;19870901.29223856
312.0;26580311.0;19934743.138642903
313.0;26704683.0;19998789.97168546
314.0;26829712.0;20063042.459155366
315.0;26960823.0;20127501.27031624
316.0;27077683.0;20192167.075957604
317.0;27167112.0;20257040.5484433
318.0;27249911.0;20322122.361757293
319.0;27345292.0;20387413.191546768
320.0;27440575.0;20452913.715162996
321.0;27547347.0;20518624.611699745
322.0;27647927.0;20584546.56202982
323.0;27738685.0;20650680.248839427
324.0;27806993.0;20717026.356660858
325.0;27862441.0;20783585.571903322
326.0;27921663.0;20850358.582882285
327.0;27990508.0;20917346.0798472
328.0;28063088.0;20984548.755007934
329.0;28138246.0;21051967.302559752
330.0;28212029.0;21119602.418707263
331.0;28267294.0;21187454.80168701
332.0;28322777.0;21255525.151789185
333.0;28396637.0;21323814.17137819
334.0;28471662.0;21392322.564912446
335.0;28548941.0;21461051.03896313
336.0;28624361.0;21530000.30223234
337.0;28695650.0;21599171.06557028
338.0;28747414.0;21668564.04199197
339.0;28797854.0;21738179.946693145
340.0;28856272.0;21808019.497065634
341.0;28923323.0;21878083.41271217
342.0;28992266.0;21948372.415460676
343.0;29060145.0;22018887.229378056
344.0;29121176.0;22089628.580783587
345.0;29162787.0;22160597.19826185
346.0;29206879.0;22231793.8126753
347.0;29262382.0;22303219.157176502
348.0;29320154.0;22374873.96722
349.0;29381944.0;22446758.980573922
350.0;29444547.0;22518874.937331285
351.0;29501367.0;22591222.57992106
352.0;29540641.0;22663802.65311898
353.0;29591674.0;22736615.904058147
354.0;29645741.0;22809663.082239438
355.0;29705015.0;22882944.93954174
356.0;29767405.0;22956462.230231956
357.0;29829037.0;23030215.71097496
358.0;29887904.0;23104206.140843317
359.0;29923282.0;23178434.281326924
360.0;29970706.0;23252900.896342512
361.0;30023564.0;23327606.752243076
362.0;30111321.0;23402552.617827162
363.0;30178948.0;23477739.264348093
364.0;30255319.0;23553167.465523124
365.0;30319374.0;23628837.997542508
366.0;30365694.0;23704751.639078498
367.0;30431566.0;23780909.171294324
368.0;30493256.0;23857311.377853062
369.0;30562786.0;23933959.04492653
370.0;30639642.0;24010852.961204085
371.0;30713666.0;24087993.91790141
372.0;30778546.0;24165382.7087693
373.0;30816469.0;24243020.130102348
374.0;30883556.0;24320906.980747707
375.0;30946382.0;24399044.062113762
376.0;31022159.0;24477432.17817881
377.0;31102225.0;24556072.135499746
378.0;31186978.0;24634964.74322072
379.0;31257513.0;24714110.813081816
380.0;31304969.0;24793511.159427688
381.0;31367152.0;24873166.59921624
382.0;31447993.0;24953077.95202729
383.0;31523597.0;25033246.040071223
384.0;31597579.0;25113671.688197687
385.0;31681052.0;25194355.723904267
386.0;31736539.0;25275298.97734519
387.0;31780368.0;25356502.281340014
388.0;31838914.0;25437966.47138237
389.0;31901354.0;25519692.385648668
390.0;31965700.0;25601680.86500689
391.0;32032419.0;25683932.7530253
392.0;32095314.0;25766448.895981286
393.0;32150286.0;25849230.14287012
394.0;32185055.0;25932277.345413797
395.0;32227342.0;26015591.35806988
396.0;32279624.0;26099173.03804036
397.0;32334810.0;26183023.24528054
398.0;32393636.0;26267142.842507944
399.0;32451738.0;26351532.695211247
400.0;32500514.0;26436193.67165924
401.0;32531070.0;26521126.642909784
402.0;32575692.0;26606332.482818842
403.0;32618587.0;26691812.068049483
404.0;32664630.0;26777566.27808095
405.0;32710809.0;26863595.995217744
406.0;32759224.0;26949902.1045987
407.0;32794879.0;27036485.494206168
408.0;32817749.0;27123347.054875117
409.0;32850125.0;27210487.68030237
410.0;32885603.0;27297908.26705579
411.0;32921754.0;27385609.714583524
412.0;32960490.0;27473592.92522328
413.0;33002707.0;27561858.80421162
414.0;33033464.0;27650408.259693302
415.0;33051156.0;27739242.2027306
416.0;33076399.0;27828361.54731272
417.0;33105314.0;27917767.21036521
418.0;33134919.0;28007460.111759383
419.0;33165136.0;28097441.174321804
420.0;33193961.0;28187711.3238438
421.0;33215174.0;28278271.48909096
422.0;33228958.0;28369122.60181273
423.0;33250830.0;28460265.59675199
424.0;33275420.0;28551701.411654674
425.0;33300016.0;28643430.987279426
426.0;33326857.0;28735455.267407283
427.0;33349099.0;28827775.19885139
428.0;33362410.0;28920391.73146674
429.0;33369764.0;29013305.818159956
430.0;33376039.0;29106518.41489909
431.0;33396892.0;29200030.48072346
432.0;33413605.0;29293842.977753576
433.0;33432001.0;29387956.8712009
434.0;33449866.0;29482373.12937786
435.0;33465470.0;29577092.723707978
436.0;33471486.0;29672116.628735483
437.0;33485556.0;29767445.822135717
438.0;33498595.0;29863081.284725066
439.0;33517160.0;29959024.000470836
440.0;33531941.0;30055274.95650183
441.0;33557092.0;30151835.14311809
442.0;33566252.0;30248705.553801183
443.0;33571522.0;30345887.18522472
444.0;33583308.0;30443381.0372641
445.0;33594037.0;30541188.113007244
446.0;33605945.0;30639309.41876476
447.0;33617708.0;30737745.96408007
448.0;33638890.0;30836498.76174029
449.0;33647942.0;30935568.827786196
450.0;33652898.0;31034957.181524456
451.0;33663452.0;31134664.845530167
452.0;33674248.0;31234692.845673356
453.0;33686913.0;31335042.21111874
454.0;33701389.0;31435713.974337406
455.0;33725992.0;31536709.17110448
456.0;33735361.0;31638028.84053047
457.0;33739983.0;31739674.025098097
458.0;33753566.0;31841645.7705855
459.0;33761043.0;31943945.126109533
460.0;33776394.0;32046573.144254196
461.0;33791514.0;32149530.880933866
462.0;33821271.0;32252819.395405836
463.0;33826685.0;32356439.750394717
464.0;33830970.0;32460393.012060918
465.0;33839872.0;32564680.24991723
466.0;33862154.0;32669302.529940426
467.0;33882330.0;32774260.948511478
468.0;33903195.0;32879556.567674734
469.0;33950787.0;32985190.474962506
470.0;33960906.0;33091163.761888634
471.0;33972653.0;33197477.518884737
472.0;34002076.0;33304132.83553471
473.0;34028607.0;33411130.8039377
474.0;34059732.0;33518472.535750702
475.0;34091693.0;33626159.135001615
476.0;34169802.0;33734191.7027306
477.0;34183904.0;33842571.34456721
478.0;34204233.0;33951299.18925274
479.0;34253076.0;34060376.35413831
480.0;34292802.0;34169803.9541227
481.0;34340538.0;34279583.11066977
482.0;34397064.0;34389714.96718208
483.0;34517866.0;34500200.65411106
484.0;34546610.0;34611041.300390445
485.0;34574582.0;34722238.04383238
486.0;34653954.0;34833792.04191492
487.0;34718957.0;34945704.43859088
488.0;34792533.0;35057976.377035014
489.0;34865078.0;35170609.01335714
490.0;35056523.0;35283603.517819144
491.0;35100414.0;35396961.04789799
492.0;35144983.0;35510682.76098916
493.0;35253343.0;35624769.832502365
494.0;35351097.0;35739223.4445615
495.0;35453543.0;35854044.768909514
496.0;35563230.0;35969235.00584607
497.0;35815126.0;36084795.27368165
498.0;35878132.0;36200726.828184366
499.0;35913008.0;36317030.847532675
500.0;36072795.0;36433708.51547661
501.0;36190596.0;36550761.04209204
502.0;36345048.0;36668189.63301492
503.0;36489134.0;36785995.49327921
504.0;36715940.0;36904179.83281168
505.0;36789007.0;37022743.866431944
506.0;36835795.0;37141688.81385241
507.0;37030150.0;37261015.8996783
508.0;37180741.0;37380726.35340766
509.0;37348343.0;37500821.40720055
510.0;37503564.0;37621302.29083206
511.0;37742638.0;37742170.243965425
512.0;37834834.0;37863426.51137018
513.0;37879037.0;37985072.34231238
514.0;38087262.0;38107108.990554586
515.0;38241722.0;38229537.71435589
516.0;38420704.0;38352359.77647193
517.0;38604475.0;38475576.444154836
518.0;38843147.0;38599188.98326246
519.0;38922036.0;38723198.65973178
520.0;38974047.0;38847606.74943412
521.0;39203261.0;38972414.53228294
522.0;39383222.0;39097623.29221043
523.0;39573739.0;39223234.31716747
524.0;39752874.0;39349248.89912364
525.0;39988318.0;39475668.33406721
526.0;40074226.0;39602493.922082834
527.0;40137731.0;39729726.9694248
528.0;40231470.0;39857368.78596127
529.0;40440640.0;39985420.68492591
530.0;40617567.0;40113883.9836832
531.0;40783985.0;40242760.00372849
532.0;41025994.0;40372050.07068797
533.0;41115125.0;40501755.5143187
534.0;41163477.0;40631877.66850856
535.0;41374256.0;40762417.07850451
536.0;41519660.0;40893376.997973144
537.0;41692913.0;41024757.549218886
538.0;41851690.0;41156560.11230385
539.0;42062552.0;41288786.06729016
540.0;42137525.0;41421436.79423993
541.0;42182396.0;41554513.67321528
542.0;42354198.0;41688018.084278315
543.0;42475936.0;41821951.40749118
544.0;42607288.0;41956315.02502798
545.0;42736457.0;42091110.322963566
546.0;42911223.0;42226338.6849327
547.0;42971718.0;42362001.500047415
548.0;43026035.0;42498100.17123886
549.0;43181981.0;42634636.09372341
550.0;43294733.0;42771610.66777136
551.0;43416122.0;42909025.312023275
552.0;43526508.0;43046881.43601217
553.0;43681338.0;43185180.45269297
554.0;43729543.0;43323923.79445897
555.0;43774321.0;43463112.88527461
556.0;43917236.0;43602749.15099616
557.0;44012469.0;43742834.037431456
558.0;44124642.0;43883368.9832121
559.0;44226168.0;44024355.42812324
560.0;44357583.0;44165794.83161489
561.0;44396410.0;44307688.646268226
562.0;44436080.0;44450038.32566432
563.0;44532144.0;44592845.34334124
564.0;44642750.0;44736111.16607656
565.0;44751214.0;44879837.2692005
566.0;44838161.0;45024025.11811346
567.0;44947641.0;45168676.21422761
568.0;44987425.0;45313792.03490057
569.0;45019082.0;45459374.08317616
570.0;45118033.0;45605423.85564973
571.0;45199950.0;45751942.85145807
572.0;45291570.0;45898932.57547542
573.0;45369652.0;46046394.53831343
574.0;45465604.0;46194330.25632122
575.0;45498024.0;46342741.251585335
576.0;45517194.0;46491629.051929735
577.0;45629766.0;46640995.18921217
578.0;45696423.0;46790841.19645707
579.0;45798986.0;46941168.615820415
580.0;45874082.0;47091978.99524823
581.0;45969188.0;47243273.88816672
582.0;46003483.0;47395054.853482306
583.0;46035809.0;47547323.45558157
584.0;46149063.0;47700081.2643313
585.0;46217811.0;47853329.85507847
586.0;46303405.0;48007070.80325874
587.0;46384843.0;48161305.68421508
588.0;46481701.0;48316036.08474555
589.0;46516562.0;48471263.596726105
590.0;46553390.0;48626989.817031056
591.0;46664140.0;48783216.347533
592.0;46742499.0;48939944.79510287
593.0;46837569.0;49097176.771609895
594.0;46895213.0;49254913.89393435
595.0;47038724.0;49413157.786312476
596.0;47082676.0;49571910.07830833
597.0;47114588.0;49731172.4032494
598.0;47248624.0;49890946.39960254
599.0;47335895.0;50051233.71097398
600.0;47448742.0;50212035.986109294
601.0;47558569.0;50373354.878893465
602.0;47685444.0;50535192.048350796
603.0;47730805.0;50697549.15870851
604.0;47770637.0;50860427.88107111
605.0;47915253.0;51023829.89291769
606.0;48006598.0;51187756.87574496
607.0;48118178.0;51352210.51550975
608.0;48157497.0;51517192.504122525
609.0;48210918.0;51682704.539180316
610.0;48237457.0;51848748.323588334
611.0;48280606.0;52015325.56573133
612.0;48466899.0;52182437.979137994
613.0;48584004.0;52350087.28418867
614.0;48721118.0;52518275.20603605
615.0;48859969.0;52687003.47631065
616.0;49018581.0;52856273.82706655
617.0;49084922.0;53026088.00449237
618.0;49140106.0;53196447.75227502
619.0;49317792.0;53367354.82289124
620.0;49431052.0;53538810.97818409
621.0;49580964.0;53710817.976642475
622.0;49705495.0;53883377.59399926
623.0;49863705.0;54056491.60140296
624.0;49920293.0;54230161.781163424
625.0;49972602.0;54404389.92209333
626.0;50158088.0;54579177.812182695
627.0;50270909.0;54754527.255674474
628.0;50416755.0;54930440.051346034
629.0;50558486.0;55106918.012712926
630.0;50751140.0;55283962.95483759
631.0;50830900.0;55461576.69795896
632.0;50920099.0;55639761.07020483
633.0;51160140.0;55818517.90403793
634.0;51339553.0;55997849.04732026
635.0;51583295.0;56177756.344243854
636.0;51853055.0;56358241.64184787
637.0;52101575.0;56539306.79396034
638.0;52188230.0;56720953.66119818
639.0;52366617.0;56903184.11096717
640.0;52867185.0;57086000.01746198
641.0;53229218.0;57269403.26166616
642.0;53731325.0;57453395.73081514
643.0;54322023.0;57637979.31562535
644.0;54835643.0;57823155.915391214
645.0;55024406.0;58008927.43654182
646.0;55310363.0;58195295.79213856
647.0;56355318.0;58382262.90187521
648.0;57167536.0;58569830.692077875
649.0;57830141.0;58758001.09570502
650.0;58665163.0;58946776.052347444
651.0;59534923.0;59136157.50611136
652.0;59932617.0;59326147.39811475
653.0;60417642.0;59516747.68201504
654.0;61801540.0;59707960.31876199
655.0;62588935.0;59899787.275467426
656.0;63437572.0;60092230.52540523
657.0;64298917.0;60285292.04801135
658.0;65178977.0;60478973.828883804
659.0;65587291.0;60673277.85978268
660.0;66067093.0;60868206.13964188
661.0;66742225.0;61063760.67697833
662.0;67871738.0;61259943.48411809
663.0;68779865.0;61456756.579424076
664.0;69512462.0;61654201.98759791
665.0;70353550.0;61852281.73967996
666.0;70656050.0;62050997.87304929
667.0;71021496.0;62250352.431423716
668.0;71943648.0;62450347.46485975
669.0;72436733.0;62650985.04424152
670.0;73060791.0;62852267.2307028
671.0;73567049.0;63054196.08957769
672.0;74181123.0;63256773.697666466
673.0;74359742.0;63460002.138192646
674.0;74557703.0;63663883.50080301
675.0;75099943.0;63868419.881567545
676.0;75425352.0;64073613.38297952
677.0;75754890.0;64279466.11395541
678.0;76029693.0;64485980.198372304
679.0;76384662.0;64693157.78971883
680.0;76471091.0;64901000.99365117
681.0;76554567.0;65109511.947588705
682.0;76901004.0;65318692.795550264
683.0;77115372.0;65528545.688154146
684.0;77303778.0;65739072.78261806
685.0;77475187.0;65950276.242759205
686.0;77684502.0;66162158.2389942
687.0;77736367.0;66374720.94833913
688.0;77794688.0;66587966.593367346
689.0;77964868.0;66801897.357415214
690.0;78076038.0;67016515.42885183
691.0;78190855.0;67231823.0146697
692.0;78292544.0;67447822.32867818
693.0;78437714.0;67664515.59150349
694.0;78469121.0;67881905.0305887
695.0;78492125.0;68099992.88019373
696.0;78575012.0;68318781.38139535
697.0;78664344.0;68538272.79425865
698.0;78749480.0;68758469.41102262
699.0;78816551.0;68979373.46588284
700.0;78890923.0;69200987.23071885
