t;ydata;fitted
357.0;2187910.0;1889678.9841392827
358.0;2193639.0;1895000.4915928962
359.0;2195772.0;1900336.9842647165
360.0;2197160.0;1905688.504408659
361.0;2203041.0;1911055.094392956
362.0;2208755.0;1916436.7967008662
363.0;2214542.0;1921833.6539313595
364.0;2219845.0;1927245.7087997715
365.0;2224904.0;1932673.0041384362
366.0;2226550.0;1938115.5828972906
367.0;2227843.0;1943573.4881444643
368.0;2232910.0;1949046.7630668464
369.0;2238887.0;1954535.4509706344
370.0;2244268.0;1960039.5952818682
371.0;2247357.0;1965559.2395469497
372.0;2249195.0;1971094.4274331469
373.0;2250458.0;1976645.2027290866
374.0;2251705.0;1982211.6093452363
375.0;2256509.0;1987793.6913143755
376.0;2261879.0;1993391.4927920564
377.0;2267019.0;1999005.0580570574
378.0;2272064.0;2004634.4315118282
379.0;2278420.0;2010279.6576829278
380.0;2280213.0;2015940.781221457
381.0;2281840.0;2021617.8469034834
382.0;2286352.0;2027310.899630462
383.0;2291246.0;2033019.9844296519
384.0;2295435.0;2038745.1464545266
385.0;2299939.0;2044486.4309851842
386.0;2304096.0;2050243.8834287496
387.0;2305602.0;2056017.549319777
388.0;2306910.0;2061807.4743206482
389.0;2311172.0;2067613.7042219692
390.0;2315811.0;2073436.2849429643
391.0;2319519.0;2079275.26253187
392.0;2323430.0;2085130.6831663225
393.0;2326738.0;2091002.5931537522
394.0;2328391.0;2096891.0389317665
395.0;2329534.0;2102796.0670685424
396.0;2333126.0;2108717.724263209
397.0;2336944.0;2114656.057346237
398.0;2340934.0;2120611.113279821
399.0;2344755.0;2126582.9391582683
400.0;2347780.0;2132571.5822083815
401.0;2348873.0;2138577.089789843
402.0;2349900.0;2144599.509395603
403.0;2352964.0;2150638.8886522595
404.0;2355985.0;2156695.2753204503
405.0;2358831.0;2162768.7172952313
406.0;2361874.0;2168859.2626064694
407.0;2364617.0;2174966.9594192216
408.0;2365792.0;2181091.856034128
409.0;2366496.0;2187234.0008877954
410.0;2368393.0;2193393.4425531854
411.0;2371483.0;2199570.2297400045
412.0;2375115.0;2205764.4112950917
413.0;2377995.0;2211976.0362028102
414.0;2380690.0;2218205.1535854354
